"sn","chinese","ph","ty","hy","g2","wg","last_name_weight","first_name_weight"
14352,"\347\275\216","\343\204\212\343\204\242\313\212","tan","tan","tan","tan",0,0
14353,"\347\262\233","\343\204\231\343\204\250\313\213","su","su","su","su",0,0
14354,"\346\240\206","\343\204\227\343\204\240\313\207","zao","zao","tzau","tsao",0,0
14355,"\346\215\235","\343\204\212\343\204\250\343\204\233","tuo","tuo","tuo","to",0,0
14356,"\346\215\235","\343\204\225\343\204\250\343\204\237\313\213","shuei","shui","shuei","shui",0,0
14357,"\345\243\241","\343\204\226\343\204\250\343\204\237\313\207","ruei","rui","ruei","jui",0,0
14358,"\345\224\223","\343\204\224\343\204\234","che","che","che","che",0,0
14359,"\347\261\217","\343\204\221\343\204\247\313\212","ci","qi","chi","chi",0,0
14360,"\345\266\276","\343\204\247\343\204\243\313\207","yin","yin","yin","yin",0,0
14361,"\351\274\235","\343\204\251\343\204\242","yuan","yuan","yuan","yuan",0,0
14362,"\347\253\202","\343\204\214\343\204\247\343\204\240\313\212","liao","liao","liau","liao",0,0
14363,"\345\217\205","\343\204\225\343\204\243","shen","shen","shen","shen",0,0
14364,"\345\217\205","\343\204\230\343\204\242","can","can","tsan","tsan",0,0
14365,"\345\217\205","\343\204\230\343\204\243","cen","cen","tsen","tsen",0,0
14366,"\345\217\205","\343\204\231\343\204\242","san","san","san","san",0,0
14367,"\345\217\222","\343\204\226\343\204\250\343\204\233\313\213","ruo","ruo","ruo","jo",0,0
14368,"\347\231\204","\343\204\220\343\204\247\343\204\240\313\213","jiao","jiao","jiau","chiao",0,0
14369,"\347\231\204","\343\204\221\343\204\247\343\204\240\313\212","ciao","qiao","chiau","chiao",0,0
14370,"\345\237\200","\343\204\224\343\204\250\343\204\237\313\212","chuei","chui","chuei","chui",0,0
14371,"\350\277\261","\343\204\247\313\207","yi","yi","yi","yi",0,0
14372,"\350\277\261","\343\204\247\313\212","yi","yi","yi","yi",0,0
14373,"\346\202\263","\343\204\211\343\204\234\313\212","de","de","de","te",0,0
14374,"\350\224\233","\343\204\217\343\204\250\313\212","hu","hu","hu","hu",0,0
14375,"\350\216\265","\343\204\212\343\204\250\313\212","tu","tu","tu","tu",0,0
14376,"\350\216\265","\343\204\212\343\204\250\313\213","tu","tu","tu","tu",0,0
14377,"\350\264\262","\343\204\205\343\204\243","ben","ben","ben","pen",0,0
14378,"\350\264\262","\343\204\205\343\204\247\313\213","bi","bi","bi","pi",0,0
